seed,mu,E,client,measured_delta,grad_norm_at_w0,exact_solve_iters
0,1.0,5,3,0.05069882633383891,2.70339122003791,3000
0,1.0,5,4,0.07361565580370338,1.8863118917032797,3000
0,1.0,5,5,0.049033419021517845,3.7242765707844425,3000
0,1.0,5,6,0.1961996093943173,5.110804209579576,3000
0,1.0,5,7,0.031649006117611844,1.0714384012209426,3000
0,1.0,5,8,0.02669048723607542,3.1958123443426714,3000
0,1.0,5,9,0.027590804573327323,4.2139813295610296,3000
0,1.0,5,10,1.25517233351419,3.439528000400227,3000
0,1.0,5,11,0.004955124412983367,1.8127084768747979,3000
0,1.0,5,12,0.046201310603659125,3.6932133803977036,3000
0,1.0,5,13,0.013077742661011226,2.938452666868414,3000
0,1.0,5,14,0.0123911459135293,2.9427433115271953,3000
0,1.0,5,15,0.6604008288232568,3.037461162199718,3000
0,1.0,5,16,1.9526436443232715,2.369561562452599,3000
0,1.0,5,17,1.3253728398419675,2.1950998244769973,3000
0,1.0,5,18,0.20704531450350722,5.149973210214156,3000
0,1.0,5,19,0.0025061735596197104,2.351274470087229,3000
0,1.0,10,0,4.4892642352308764e-05,6.159385642685968,3000
0,1.0,10,1,0.009212017011351017,3.1789750284436193,3000
0,1.0,10,2,2.8686285979019063e-05,2.0367976708378954,3000
0,1.0,10,3,0.02941177800688737,2.70339122003791,3000
0,1.0,10,4,0.01608541620939684,1.8863118917032797,3000
0,1.0,10,5,0.01900715120348082,3.7242765707844425,3000
0,1.0,10,6,0.0005743586376675148,5.110804209579576,3000
0,1.0,10,7,0.0063942911447852,1.0714384012209426,3000
0,1.0,10,8,0.003086077586835078,3.1958123443426714,3000
0,1.0,10,9,0.02279200996020364,4.2139813295610296,3000
0,1.0,10,10,0.056300206183282325,3.439528000400227,3000
0,1.0,10,11,9.497308481892719e-05,1.8127084768747979,3000
0,1.0,10,12,0.015245844103658498,3.6932133803977036,3000
0,1.0,10,13,0.0009270152671789187,2.938452666868414,3000
0,1.0,10,14,0.0006956409347122965,2.9427433115271953,3000
0,1.0,10,15,0.7749766440017133,3.037461162199718,3000
0,1.0,10,16,0.003830804144741813,2.369561562452599,3000
0,1.0,10,17,0.022160801312555087,2.1950998244769973,3000
0,1.0,10,18,0.00031768507166788176,5.149973210214156,3000
0,1.0,10,19,4.077359047495528e-05,2.351274470087229,3000
0,1.0,20,0,1.7685111260568777e-08,6.159385642685968,3000
0,1.0,20,1,0.0013413608652900226,3.1789750284436193,3000
0,1.0,20,2,1.8035269864482255e-08,2.0367976708378954,3000
0,1.0,20,3,0.012172241530727174,2.70339122003791,3000
0,1.0,20,4,0.0009034002224795987,1.8863118917032797,3000
0,1.0,20,5,0.002429165539768723,3.7242765707844425,3000
0,1.0,20,6,3.176422024543488e-05,5.110804209579576,3000
0,1.0,20,7,0.000271404446173255,1.0714384012209426,3000
0,1.0,20,8,3.8294329493957444e-05,3.1958123443426714,3000
