d,N,seed,eps_p,conversion,sigma,T_priv,T_needed,T_acc_calibrated,capped_at_Tmax,round_used,measured_gap_cumavg,V_ind_theory,gap_over_theory_ratio,theorem2_predicted_feasible,empirically_feasible,degenerate_zero_rounds,frac_updates_clipped
10,2000,1,16.0,pathA,4.994997497496871,189.94624911128085,379.8924982225617,0.018021596001236217,True,149,0.5550023153999135,0.25,2.220009261599654,True,False,False,0.8805
10,5000,0,2.0,basic,7.90253124005214,9.997667380800603,19.995334761601207,0.018021596001236217,False,20,0.5390028310162095,0.25000000000000006,2.1560113240648375,True,False,False,0.8676
10,5000,0,2.0,pathA,7.90253124005214,13.521206701719962,27.042413403439923,0.018021596001236217,False,27,0.5708149160409114,0.25000000000000006,2.283259664163645,True,False,False,0.8676
10,5000,0,4.0,basic,7.90253124005214,37.17673375116825,74.3534675023365,0.018021596001236217,False,74,0.5217323379753632,0.25000000000000006,2.0869293519014525,True,False,False,0.8676
10,5000,0,4.0,pathA,7.90253124005214,46.605656394910056,93.21131278982011,0.018021596001236217,False,93,0.49250146073979084,0.25000000000000006,1.970005842959163,True,True,False,0.8676
10,5000,0,8.0,basic,7.90253124005214,131.0371115327923,262.0742230655846,0.018021596001236217,True,149,0.5138884512804293,0.25000000000000006,2.0555538051217166,True,False,False,0.8676
10,5000,0,8.0,pathA,7.90253124005214,153.59110871033317,307.18221742066635,0.018021596001236217,True,149,0.5138884512804293,0.25000000000000006,2.0555538051217166,True,False,False,0.8676
10,5000,0,16.0,basic,7.90253124005214,428.4904454986834,856.9808909973668,0.018021596001236217,True,149,0.5138884512804293,0.25000000000000006,2.0555538051217166,True,False,False,0.8676
10,5000,0,16.0,pathA,7.90253124005214,475.4364512439606,950.8729024879212,0.018021596001236217,True,149,0.5138884512804293,0.25000000000000006,2.0555538051217166,True,False,False,0.8676
10,5000,1,2.0,basic,7.90253124005214,9.997667380800603,19.995334761601207,0.018021596001236217,False,20,0.499106187307197,0.25000000000000006,1.9964247492287877,True,True,False,0.8904
10,5000,1,2.0,pathA,7.90253124005214,13.521206701719962,27.042413403439923,0.018021596001236217,False,27,0.4962470747734708,0.25000000000000006,1.9849882990938827,True,True,False,0.8904
10,5000,1,4.0,basic,7.90253124005214,37.17673375116825,74.3534675023365,0.018021596001236217,False,74,0.4663428789611729,0.25000000000000006,1.865371515844691,True,True,False,0.8904
10,5000,1,4.0,pathA,7.90253124005214,46.605656394910056,93.21131278982011,0.018021596001236217,False,93,0.47855374415706325,0.25000000000000006,1.9142149766282526,True,True,False,0.8904
10,5000,1,8.0,basic,7.90253124005214,131.0371115327923,262.0742230655846,0.018021596001236217,True,149,0.4719619487477039,0.25000000000000006,1.8878477949908152,True,True,False,0.8904
10,5000,1,8.0,pathA,7.90253124005214,153.59110871033317,307.18221742066635,0.018021596001236217,True,149,0.4719619487477039,0.25000000000000006,1.8878477949908152,True,True,False,0.8904
10,5000,1,16.0,basic,7.90253124005214,428.4904454986834,856.9808909973668,0.018021596001236217,True,149,0.4719619487477039,0.25000000000000006,1.8878477949908152,True,True,False,0.8904
10,5000,1,16.0,pathA,7.90253124005214,475.4364512439606,950.8729024879212,0.018021596001236217,True,149,0.4719619487477039,0.25000000000000006,1.8878477949908152,True,True,False,0.8904
10,10000,0,2.0,basic,11.178103595869919,20.003339299135874,40.00667859827175,0.018021596001236217,False,40,0.41879303212154584,0.25000000000000006,1.675172128486183,True,True,False,0.8863
10,10000,0,2.0,pathA,11.178103595869919,27.05322580488223,54.10645160976446,0.018021596001236217,False,54,0.4120861579496343,0.25000000000000006,1.6483446317985369,True,True,False,0.8863
10,10000,0,4.0,basic,11.178103595869919,74.38323270149677,148.76646540299353,0.018021596001236217,False,149,0.5011114552391261,0.25000000000000006,2.004445820956504,True,False,False,0.8863
10,10000,0,4.0,pathA,11.178103595869919,93.24859148681935,186.4971829736387,0.018021596001236217,True,149,0.5011114552391261,0.25000000000000006,2.004445820956504,True,False,False,0.8863
10,10000,0,8.0,basic,11.178103595869919,262.1791366857069,524.3582733714138,0.018021596001236217,True,149,0.5011114552391261,0.25000000000000006,2.004445820956504,True,False,False,0.8863
10,10000,0,8.0,pathA,11.178103595869919,307.3050795682466,614.6101591364932,0.018021596001236217,True,149,0.5011114552391261,0.25000000000000006,2.004445820956504,True,False,False,0.8863
