d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
500,1.0,1,50,4803090.192200087,3277055.8622960295,1.4656723577592174
500,1.0,2,1,24987.82824233196,26042.124710428936,0.9595157276981027
500,1.0,2,10,249860.28242441986,185668.03643888482,1.3457366556825994
500,1.0,2,50,1249293.412122965,924988.0486445712,1.350604922899938
500,1.0,4,1,6721.256233638499,7556.782701683774,0.8894335723244886
500,1.0,4,10,67194.56233637877,53867.58535983253,1.2474025313650643
500,1.0,4,50,335964.8116823748,268359.72398848564,1.2519196498234209
500,1.0,8,1,1908.330176867227,2294.406091249452,0.8317316555884918
500,1.0,8,10,19065.30176847878,16346.850787291312,1.166298146142063
500,1.0,8,50,95318.50884224822,81431.85780084133,1.1705309373558639
500,1.0,16,1,584.9768262663305,742.6828440812134,0.7876536140942048
500,1.0,16,10,5831.768262718295,5283.0671779203085,1.1038603270257834
500,1.0,16,50,29150.841313276953,26312.21567179112,1.1078824252922599
1000,0.1,1,1,19212372.768937048,13155626.026645716,1.460392134135149
1000,0.1,1,10,192123547.68665668,131022936.27028546,1.4663352322552716
1000,0.1,1,50,960617658.4392607,654877648.4584861,1.4668658499804579
1000,0.1,2,1,4997185.648502155,3713340.728754852,1.345738517827261
1000,0.1,2,10,49971676.48479536,36982741.27812503,1.3512161283283013
1000,0.1,2,50,249858302.42728636,184846743.72308472,1.3517051877397104
1000,0.1,4,1,1343871.2467299714,1077331.7072035463,1.2474071242350118
1000,0.1,4,10,13438532.46722395,10729477.945403028,1.2524870767809908
1000,0.1,4,50,67192582.33538672,53627905.67188282,1.252940637780973
1000,0.1,8,1,381286.03536861733,326917.01574496424,1.1663083198644748
1000,0.1,8,10,3812680.3537369897,3255742.3313130694,1.1710632985501965
1000,0.1,8,50,19063321.768660996,16272743.733973367,1.1714878621766536
1000,0.1,16,1,116615.36525266124,105641.34356045072,1.103879989806556
1000,0.1,16,10,1165973.6525448577,1051953.0257759646,1.1083894660455837
1000,0.1,16,50,5829788.262686573,5257782.724507428,1.1087921597659274
1000,0.5,1,1,768498.1107591147,607141.0900212219,1.2657652782687674
1000,0.5,1,10,7684945.1075131195,5250398.766214963,1.4636878929965984
1000,0.5,1,50,38424709.53766075,26204587.25373298,1.4663352322859788
1000,0.5,2,1,199890.62593891245,171375.40904285273,1.1663903651948655
1000,0.5,2,10,1998870.2594203956,1481988.1579768397,1.3487761347224163
1000,0.5,2,50,9994335.29704476,7396548.255688416,1.3512161283283024
